Task ID,Problem Name,Avg Score,Answer
2020-A-5,Ancient Texts,7.56,C
2015-A-1,Chestnut Animals,7.55,B
2016-A-1,Boxes,7.54,C
2021-A-1,Messages,7.41,C
2019-A-3,Safe,7.27,C
2019-A-1,Beaver Coins,7.26,D
2017-A-1,Parking Lot,7.24,B
2021-A-4,Volcanoes,7.04,D
2016-A-5,Secret Message,6.97,B
2018-A-3,Roped Trees,6.86,C
2021-A-5,Wheat Field Irrigation,6.83,C
2018-A-5,Lemonade Party,6.63,C
2020-A-1,Skyline,6.49,A
2020-A-4,Water Bottles,6.48,B
2020-A-3,Locked Chests,6.39,A
2021-A-2,Arranging Objects,6.39,A
2016-A-3,Secret Recipe,6.18,B
2020-A-2,Library Books,6.08,B
2018-A-4,Beaver Jump Challenge,6.06,A
2017-A-2,Skaters,6.01,B
2019-A-4,Socks,5.78,A
2018-A-1,Rotation Game,5.49,B
2019-A-2,Special Towers,5.39,C
2019-A-5,Language Detection,5.17,B
2018-A-2,Sharing a Driveway,5.09,C
2017-A-4,Popular Song,5.06,B
2016-A-4,Spherical Robot,5,D
2015-A-3,Collecting Pollen,4.6,C
2015-A-2,Catch Up,4.57,B
2015-A-4,Connecting Beaver Dens,4.48,B
2017-A-3,Risk,4.36,D
2021-A-3,Singing Contest,4.24,D
2015-A-5,Beaver the Alchemist,4.11,C
2017-A-5,Soda Shoppe,3.94,B
2016-A-2,Propagate,2.13,C
2019-B-3,Light Buttons,5.34,D
2017-B-3,Apple Packing,5.24,B
2019-B-4,Classifier,5.07,C
2018-B-3,Twists and Turns,5.06,C
2017-B-4,Roundabout City,5.03,B
2021-B-1,Taxi,4.99,B
2016-B-3,Chain,4.91,C
2019-B-1,Celebrity,4.86,B
2020-B-5,Puzzle Pieces,4.67,C
2017-B-1,Balls,4.64,D
2018-B-4,Three Friends,4.63,A
2016-B-4,Synchronized Robots,4.55,B
2020-B-4,Household Appliances,4.37,D
2015-B-2,Irrigation System,4.3,C
2016-B-1,Late for Dinner,4.21,C
2020-B-3,Image Scanner,4.21,B
2021-B-5,Acorns and Mushrooms,4.18,B
2015-B-4,Mistakes,4.11,C
2021-B-3,Travelling Trucks,4.09,C
2017-B-2,Fish,3.94,C
2016-B-5,Firefighter,3.73,C
2018-B-1,Beaver Lake,3.57,C
2019-B-5,Escape Room,3.39,B
2016-B-2,Log Mover,3.35,B
2021-B-2,Spider Quilts,3.33,A
2020-B-2,Mountain Climber,3.27,A
2020-B-1,Beaver Intelligence Agency,3.19,D
2017-B-5,Jumpers,3.09,B
2015-B-5,Fireworks,2.97,D
2018-B-2,Longest Word Chain,2.96,C
2021-B-4,Picket Painting,2.8,B
2015-B-3,Jumping,2.42,C
2019-B-2,Cancelled Flights,2.31,C
2018-B-5,Timetabling,2.2,C
2015-B-1,Popularity,1.83,D
2015-C-1,QB-Code,3.02,B
2016-C-5,Magic Potions,3,D
2019-C-5,Recover My Robot,2.89,D
2018-C-1,Bulbs,2.85,B
2021-C-3,Unlock the Crown,2.65,C
2016-C-3,Room Assignment,2.64,C
2018-C-3,Plane Signals,2.53,C
2019-C-2,Aircraft Scheduling,2.48,C
2021-C-2,Hat Game,2.42,A
2017-C-1,Intrusion,2.35,C
2021-C-4,Flooding,2.33,B
2018-C-2,Nesting Dolls,2.3,B
2021-C-5,Cutting Branches,2.27,B
2015-C-3,You Must Turn,2.25,B
2019-C-1,Coins and Monsters,2.17,C
2019-C-4,Ants in a Swamp,2.17,B
2020-C-3,DNA Sequence,2.07,D
2020-C-2,Vegetable Shipment,2.05,B
2015-C-5,Spies,2.02,C
2015-C-2,Robotic Car,1.97,B
2020-C-4,Mixed Results,1.97,D
2018-C-5,Find the Prize,1.8,B
2018-C-4,Rows and Columns,1.78,C
2017-C-3,Litter,1.75,B
2015-C-4,Weather,1.65,A
2020-C-5,Nine Marbles,1.52,B
2017-C-2,Super Hero,1.49,A
2016-C-2,Swinging Monkeys,1.48,B
2017-C-4,Beaver Lodge,1.44,C
2021-C-1,Logs,1.42,C
2017-C-5,Broken Digital Clock,1.37,C
2016-C-4,L-Game,1.18,B
2019-C-3,Buying Shoes,1.1,A
2016-C-1,Find the Thief,0.74,A
2020-C-1,Craft,0.48,A
